pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed,Year,Month,Day_from_date
1020.4,21.4,18.2,16.1,13.5,75,89,yes,0.7,10.0,27.6,2023,1,1
1011.9,31.0,28.1,26.9,24.5,81,86,yes,2.1,70.0,32.2,2023,1,2
1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40.0,23.3,2023,1,3
1025.9,18.9,17.7,16.4,13.3,75,78,yes,4.6,70.0,33.4,2023,1,4
1009.7,32.9,30.1,28.1,24.8,74,29,no,11.8,240.0,12.8,2023,1,5
1009.5,28.5,27.2,26.0,24.5,86,87,yes,1.3,200.0,24.2,2023,1,6
1012.4,31.6,27.9,26.5,23.1,76,82,yes,4.2,10.0,30.6,2023,1,7
1012.2,31.4,28.0,25.9,22.1,71,46,no,9.3,60.0,41.3,2023,1,8
1013.0,31.2,28.0,25.8,21.4,68,49,no,9.2,50.0,39.9,2023,1,9
1016.4,23.0,19.9,17.9,15.5,76,72,no,6.3,60.0,20.7,2023,1,10
1025.9,15.2,13.2,11.5,-0.4,39,25,no,9.1,20.0,35.6,2023,1,11
1023.9,19.6,14.8,11.6,4.3,52,0,no,10.2,40.0,16.7,2023,1,12
1022.7,18.8,17.7,16.9,15.0,84,90,yes,0.0,30.0,18.4,2023,1,13
1013.3,27.9,25.3,23.2,22.9,87,84,yes,2.5,40.0,9.1,2023,1,14
1007.5,35.1,31.1,28.6,26.7,78,61,yes,8.6,60.0,15.7,2023,1,15
1021.2,24.1,22.1,20.3,17.4,75,40,no,8.8,60.0,16.0,2023,1,16
1016.9,25.9,24.9,24.0,21.4,81,88,yes,1.1,80.0,46.3,2023,1,17
1012.2,31.4,28.0,25.9,22.1,71,46,no,9.3,60.0,41.3,2023,1,18
999.0,35.6,31.5,26.4,26.4,75,57,yes,10.0,280.0,25.0,2023,1,19
999.0,35.6,31.5,26.4,26.4,75,57,yes,10.0,280.0,25.0,2023,1,20
1016.4,23.0,19.9,17.9,15.5,76,72,no,6.3,60.0,20.7,2023,1,21
1006.8,30.3,28.9,26.4,26.2,86,83,yes,0.2,230.0,14.3,2023,1,22
1013.1,32.9,29.1,27.0,25.7,82,60,no,8.7,80.0,9.8,2023,1,23
1011.4,28.2,25.8,23.2,23.4,87,82,yes,2.7,40.0,9.2,2023,1,24
1005.7,31.7,28.2,26.6,25.7,86,79,yes,6.5,,,2023,1,25
1017.8,29.6,26.7,25.3,23.1,81,53,no,8.4,100.0,16.5,2023,1,26
